what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363262591421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1363262594353
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1363262598633
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1363262604779
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363262608742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363262609604
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363262611421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363262679763
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1363262679786
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363262681563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363262689033
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363262689116
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363262689169
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1363262690215
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363262691515
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.showKeyAssist",1363262692225
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363262698667
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363262698717
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363262698771
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363262731911
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363262737955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363262740026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363262745172
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1363262749915
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363262751294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363262751427
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1363262752940
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363262753736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363262753891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363262762105
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363262772905
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1363262782527
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363262783519
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363262783686
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363262788146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363262841059
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1363262861766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363262895071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363262900150
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1363262913498
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1363262929093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1363262932761
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1363262933643
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1363262934905
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1363262935049
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1363262935469
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1363262935851
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1363262938476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363262946087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363262951974
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1363262952018
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1363262957306
